r_A,cell_O_mgo_Mg,cell_H_mgo_O,cell_H_epoxy_O
0.025,0.0000,0.0000,0.0000
0.075,0.0000,0.0000,0.0000
0.125,0.0000,0.0000,0.0000
0.175,0.0000,0.0000,0.0000
0.225,0.0000,0.0000,0.0000
0.275,0.0000,0.0000,0.0000
0.325,0.0000,0.0000,0.0000
0.375,0.0000,0.0000,0.0000
0.425,0.0000,0.0000,0.0000
0.475,0.0000,0.0000,0.0000
0.525,0.0000,0.0000,0.0000
0.575,0.0000,0.0000,0.0000
0.625,0.0000,0.0000,0.0000
0.675,0.0000,0.0000,0.0000
0.725,0.0000,0.0000,0.0000
0.775,0.0000,0.0000,0.0000
0.825,0.0000,0.0000,0.0000
0.875,0.0000,0.0000,0.0000
0.925,0.0000,0.0000,0.0000
0.975,0.0000,0.0000,0.0000
1.025,0.0000,0.0000,0.0000
1.075,0.0000,0.0000,0.0000
1.125,0.0000,0.0000,0.0000
1.175,0.0000,0.0000,0.0000
1.225,0.0000,0.0000,0.0000
1.275,0.0000,0.0000,0.0000
1.325,0.0000,0.0000,0.0000
1.375,0.0000,0.0000,0.0000
1.425,0.0000,0.0000,0.0000
1.475,0.0000,0.0000,0.0000
1.525,0.0000,0.0000,0.0000
1.575,0.0000,0.0000,0.0000
1.625,0.0000,0.0000,0.0000
1.675,0.0000,0.0000,0.0000
1.725,0.0000,0.0000,0.0000
1.775,0.0000,0.0000,0.0000
1.825,0.0000,0.0000,0.0000
1.875,0.0000,0.0000,0.0000
1.925,0.0000,0.0000,0.0000
1.975,0.0000,0.0000,0.0000
2.025,0.0000,0.0000,0.0000
2.075,0.0000,0.0000,0.0000
2.125,0.0000,0.0000,0.0000
2.175,0.0000,0.1502,0.0000
2.225,0.0000,0.0000,0.0000
2.275,0.1922,0.0000,0.0000
2.325,0.0000,0.1314,0.3943
2.375,0.0000,0.0000,0.7558
2.425,0.0000,0.0000,0.3625
2.475,0.0000,0.0000,0.6959
2.525,0.0000,0.0000,0.3343
2.575,0.0000,0.0000,0.0000
2.625,0.0000,0.0000,0.3093
2.675,0.0000,0.0000,0.0000
2.725,0.0000,0.0000,0.0000
2.775,0.0000,0.0000,0.0000
2.825,0.0000,0.0890,0.8012
2.875,0.0000,0.0000,0.0000
2.925,0.1163,0.0000,0.0000
2.975,0.1124,0.0000,0.2408
3.025,0.0000,0.0000,0.0000
3.075,0.0000,0.0000,0.0000
3.125,0.0000,0.0000,0.2183
3.175,0.0000,0.0000,0.0000
3.225,0.0000,0.0000,0.0000
3.275,0.0000,0.0000,0.0000
3.325,0.0000,0.0000,0.1928
3.375,0.0000,0.0624,0.1871
3.425,0.0000,0.0000,0.0000
3.475,0.0000,0.0000,0.0000
3.525,0.1601,0.0000,0.0000
3.575,0.0000,0.0000,0.0000
3.625,0.0000,0.0000,0.1622
3.675,0.0737,0.0000,0.0000
3.725,0.1434,0.0512,0.6145
3.775,0.0698,0.0499,0.1496
3.825,0.0680,0.0971,0.1457
3.875,0.0662,0.0000,0.1420
3.925,0.1291,0.0922,0.0000
3.975,0.0000,0.0450,0.0000
4.025,0.0614,0.0000,0.0000
4.075,0.0000,0.0000,0.0000
4.125,0.0000,0.0418,0.0000
4.175,0.0571,0.0000,0.1223
4.225,0.0000,0.0398,0.0000
4.275,0.0000,0.0000,0.2333
4.325,0.1064,0.0760,0.0000
4.375,0.1039,0.0371,0.1114
4.425,0.0000,0.1089,0.1089
4.475,0.0000,0.0355,0.1064
4.525,0.0972,0.0694,0.2082
4.575,0.0000,0.1018,0.4073
4.625,0.0930,0.0664,0.1993
4.675,0.0910,0.1625,0.1951
4.725,0.0446,0.0318,0.0000
4.775,0.0436,0.0312,0.1870
4.825,0.0855,0.0916,0.1831
4.875,0.1256,0.1495,0.2691
4.925,0.0410,0.0293,0.0000
4.975,0.0804,0.1435,0.1722
5.025,0.0000,0.0563,0.1688
5.075,0.0772,0.0828,0.4966
5.125,0.0379,0.0812,0.2435
5.175,0.0371,0.1061,0.1592
5.225,0.0729,0.1301,0.0781
5.275,0.0357,0.1787,0.2298
5.325,0.0000,0.1253,0.2255
5.375,0.1033,0.1722,0.4427
5.425,0.0000,0.0724,0.1449
5.475,0.0664,0.0948,0.3555
5.525,0.1955,0.0931,0.0698
5.575,0.1280,0.0457,0.0686
5.625,0.1258,0.1347,0.0674
5.675,0.0927,0.1103,0.5957
5.725,0.1214,0.1517,0.2601
5.775,0.0298,0.2130,0.3196
5.825,0.1759,0.0838,0.2513
5.875,0.1153,0.1441,0.1853
5.925,0.1700,0.1417,0.2429
5.975,0.2508,0.2189,0.2388
