System,E_total (eV),E_cellulose (eV),E_matrix (eV),Interaction Energy E_int (eV),E_int (kJ/mol)
Pure Epoxy Control (300K),-41839.836,-10510.906,-31317.645,-11.285,-1088.852
MgO Reinforced (300K),-52966.801,-10503.521,-42447.516,-15.765,-1521.057
Pure Epoxy Control (350K),-41817.906,-10501.382,-31306.727,-9.798,-945.349
MgO Reinforced (350K),-52974.832,-10507.485,-42454.758,-12.589,-1214.641
Pure Epoxy Control (400K),-41797.906,-10494.099,-31290.182,-13.626,-1314.706
MgO Reinforced (400K),-52941.492,-10494.251,-42432.480,-14.761,-1424.195
