r_A,cell_O_mgo_Mg,cell_H_mgo_O,cell_H_epoxy_O
0.025,0.0000,0.0000,0.0000
0.075,0.0000,0.0000,0.0000
0.125,0.0000,0.0000,0.0000
0.175,0.0000,0.0000,0.0000
0.225,0.0000,0.0000,0.0000
0.275,0.0000,0.0000,0.0000
0.325,0.0000,0.0000,0.0000
0.375,0.0000,0.0000,0.0000
0.425,0.0000,0.0000,0.0000
0.475,0.0000,0.0000,0.0000
0.525,0.0000,0.0000,0.0000
0.575,0.0000,0.0000,0.0000
0.625,0.0000,0.0000,0.0000
0.675,0.0000,0.0000,0.0000
0.725,0.0000,0.0000,0.0000
0.775,0.0000,0.0000,0.0000
0.825,0.0000,0.0000,0.0000
0.875,0.0000,0.0000,0.0000
0.925,0.0000,0.0000,0.0000
0.975,0.0000,0.0000,0.0000
1.025,0.0000,0.0000,0.0000
1.075,0.0000,0.0000,0.0000
1.125,0.0000,0.0000,0.0000
1.175,0.0000,0.0000,0.0000
1.225,0.0000,0.0000,0.0000
1.275,0.0000,0.0000,0.0000
1.325,0.0000,0.0000,0.0000
1.375,0.0000,0.0000,0.0000
1.425,0.0000,0.0000,0.0000
1.475,0.0000,0.0000,0.0000
1.525,0.0000,0.0000,0.0000
1.575,0.0000,0.0000,0.0000
1.625,0.0000,0.0000,0.0000
1.675,0.0000,0.0000,0.0000
1.725,0.0000,0.0000,0.0000
1.775,0.0000,0.0000,0.0000
1.825,0.0000,0.0000,0.0000
1.875,0.0000,0.0000,0.0000
1.925,0.0000,0.0000,0.0000
1.975,0.0000,0.0000,0.0000
2.025,0.0000,0.0000,0.0000
2.075,0.0000,0.0000,0.4950
2.125,0.0000,0.0000,0.0000
2.175,0.2103,0.0000,0.0000
2.225,0.0000,0.0000,0.0000
2.275,0.0000,0.0000,0.0000
2.325,0.0000,0.0000,0.3943
2.375,0.0000,0.0000,0.0000
2.425,0.1691,0.0000,0.0000
2.475,0.0000,0.0000,0.0000
2.525,0.0000,0.0000,0.6686
2.575,0.0000,0.1072,0.0000
2.625,0.0000,0.0000,0.0000
2.675,0.1390,0.0000,0.0000
2.725,0.0000,0.0000,0.0000
2.775,0.0000,0.0000,0.0000
2.825,0.1246,0.0000,0.0000
2.875,0.1203,0.0000,0.2579
2.925,0.0000,0.0000,0.0000
2.975,0.0000,0.0000,0.7225
3.025,0.0000,0.0000,0.0000
3.075,0.0000,0.0000,0.0000
3.125,0.0000,0.0728,0.0000
3.175,0.0000,0.0000,0.0000
3.225,0.1913,0.0683,0.0000
3.275,0.0000,0.0000,0.1987
3.325,0.0900,0.0000,0.1928
3.375,0.0000,0.0000,0.1871
3.425,0.0000,0.0000,0.3634
3.475,0.0000,0.0588,0.1765
3.525,0.0801,0.1144,0.1715
3.575,0.0000,0.0000,0.0000
3.625,0.0757,0.0000,0.1622
3.675,0.0737,0.0000,0.1578
3.725,0.0000,0.1024,0.0000
3.775,0.0698,0.0997,0.0000
3.825,0.0680,0.0486,0.4371
3.875,0.0662,0.0473,0.0000
3.925,0.0000,0.0000,0.1384
3.975,0.0000,0.0450,0.4047
4.025,0.1842,0.0000,0.5263
4.075,0.0599,0.0428,0.3851
4.125,0.0585,0.0418,0.0000
4.175,0.0000,0.0815,0.0000
4.225,0.0557,0.0398,0.1194
4.275,0.0000,0.1166,0.3499
4.325,0.0532,0.0380,0.2279
4.375,0.0000,0.0371,0.0000
4.425,0.0508,0.0000,0.0000
4.475,0.0000,0.1064,0.2129
4.525,0.0486,0.1041,0.2082
4.575,0.0475,0.1018,0.1018
4.625,0.0000,0.0664,0.0996
4.675,0.1821,0.0975,0.2926
4.725,0.0446,0.0318,0.0955
4.775,0.0436,0.0935,0.0000
4.825,0.0855,0.0916,0.0000
4.875,0.2093,0.1794,0.0897
4.925,0.0000,0.0000,0.2636
4.975,0.0804,0.1148,0.2584
5.025,0.0788,0.0563,0.3377
5.075,0.0000,0.1655,0.0000
5.125,0.0379,0.0541,0.1623
5.175,0.1114,0.1061,0.3184
5.225,0.0000,0.1041,0.0781
5.275,0.0715,0.1277,0.2298
5.325,0.1052,0.0501,0.3759
5.375,0.0689,0.1476,0.1476
5.425,0.0338,0.0966,0.1449
5.475,0.0996,0.0948,0.2133
5.525,0.1955,0.1164,0.2793
5.575,0.0640,0.2286,0.0686
5.625,0.1258,0.0898,0.1347
5.675,0.0309,0.0882,0.0662
5.725,0.0303,0.1517,0.5853
5.775,0.1193,0.0852,0.1917
5.825,0.0586,0.1256,0.1885
5.875,0.2017,0.0823,0.1853
5.925,0.2267,0.1619,0.1214
5.975,0.0836,0.1791,0.5374
